height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,shotOnTarget,shotOffTarget,shotOnPost,shotBlocked,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,shotsTotal,ranking
190,85,28,FALSE,TRUE,-DC-DR-,D(CR),England,de,EPL,19,0,7,4,0,3,Antonio Rüdiger,Antonio,Rüdiger,104010,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.019473684,1710,14,56
175,69,22,FALSE,TRUE,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,36,0,12,22,0,21,Trent Alexander-Arnold,Trent,Alexander-Arnold,318871,Defender,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.015,3033,55,57
190,0,20,FALSE,TRUE,-DC-,D(C),England,fr,EPL,28,0,2,7,1,2,Wesley Fofana,Wesley,Fofana,373946,Defender,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.014642857,2265,11,58
185,76,22,FALSE,TRUE,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,32,0,8,12,3,7,Declan Rice,Declan,Rice,332325,Midfielder,29,West Ham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.014375,2880,27,59
178,72,25,FALSE,TRUE,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,29,0,5,8,0,2,Kalvin Phillips,Kalvin,Phillips,270446,Midfielder,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.009655172,2431,15,60
175,73,24,FALSE,TRUE,-AMC-AML-AMR-,AM(CLR),England,gb-eng,EPL,31,0,23,26,2,26,James Maddison,James,Maddison,137015,Midfielder,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.003870968,2105,75,61
178,77,24,FALSE,TRUE,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,27,0,10,10,0,7,Ben Chilwell,Ben,Chilwell,299272,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.003703704,2290,27,62
195,88,28,FALSE,TRUE,-GK-,GK,England,ar,EPL,38,0,0,0,0,0,Emiliano Martínez,Emiliano,Martínez,102248,Goalkeeper,24,Aston Villa,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,7.000526316,3420,0,63
184,78,25,FALSE,TRUE,-DMC-,DMC,England,cm,EPL,36,0,9,15,1,10,André-Frank Zambo Anguissa,André-Frank,Zambo Anguissa,349561,Midfielder,170,Fulham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.985277778,2587,34,64
182,80,24,FALSE,TRUE,-MC-,M(C),England,ml,EPL,36,0,3,27,0,12,Yves Bissouma,Yves,Bissouma,303096,Midfielder,211,Brighton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.984722222,3114,42,65
184,83,24,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,br,EPL,34,0,32,28,1,21,Richarlison,Richarlison,de Andrade,317804,Forward,31,Everton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.982058824,2872,81,66
174,66,23,FALSE,TRUE,-AMC-AML-,AM(CL),England,gb-eng,EPL,25,0,26,14,0,16,Harvey Barnes,Harvey,Barnes,331382,Midfielder,14,Leicester,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.9756,1950,56,67
181,71,28,FALSE,TRUE,-DL-ML-,"D(L),M(L)",England,br,EPL,9,0,1,3,0,1,Alex Telles,Alex Nicolao,Telles,125793,Defender,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.971111111,692,5,68
190,79,27,FALSE,TRUE,-DC-DMC-,"D(C),DMC",England,tr,EPL,16,0,0,9,0,3,Okay Yokuslu,Okay,Yokuslu,93805,Midfielder,175,West Bromwich Albion,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.96375,1319,12,69
175,70,24,FALSE,TRUE,-AML-AMR-,AM(LR),England,gb-eng,EPL,36,0,19,19,2,7,Jack Harrison,Jack,Harrison,317896,Midfielder,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.962777778,2858,45,70
175,69,25,FALSE,TRUE,-AMC-AML-AMR-,AM(CLR),England,br,EPL,33,0,28,23,2,14,Matheus Pereira,Matheus Fellipe,Costa Pereira,297389,Forward,175,West Bromwich Albion,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.960909091,2582,65,71
195,90,29,FALSE,TRUE,-DC-,D(C),England,cm,EPL,10,0,2,2,0,1,Joel Matip,Joel,Matip,74341,Defender,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.955,693,5,72
179,76,28,FALSE,TRUE,-DR-MR-,"D(R),M(R)",England,cz,EPL,34,0,5,7,2,3,Vladimir Coufal,Vladimir,Coufal,111372,Defender,29,West Ham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.95,3055,15,73
187,84,25,FALSE,TRUE,-MC-,M(C),England,dk,EPL,38,0,7,5,0,2,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,101859,Midfielder,30,Tottenham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.946315789,3420,14,74
185,72,29,FALSE,TRUE,-DC-DR-MR-,"D(CR),M(R)",England,gb-eng,EPL,38,0,6,8,0,10,Luke Ayling,Luke,Ayling,82877,Defender,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.942368421,3400,24,75
190,76,35,FALSE,TRUE,-GK-,GK,England,gb-eng,EPL,1,0,0,0,0,0,Scott Carson,Scott,Carson,8155,Goalkeeper,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.94,90,0,76
182,82,21,FALSE,TRUE,-DMC-DR-MR-,"D(R),DMC,M(R)",England,gb-eng,EPL,32,0,11,11,0,12,Reece James,Reece,James,361330,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.94,2367,34,77
183,83,29,FALSE,TRUE,-DMC-,DMC,England,es,EPL,21,0,4,5,0,5,Oriol Romeu,Oriol,Romeu,90780,Midfielder,18,Southampton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.931904762,1768,14,78
185,0,23,FALSE,TRUE,-DR-MC-ML-MR-,"D(R),M(CLR)",England,gb-eng,EPL,28,0,2,3,0,4,Matthew Cash,Matthew,Cash,322043,Defender,24,Aston Villa,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.931785714,2380,9,79
193,88,24,FALSE,TRUE,-DC-DMC-,"D(C),DMC",England,gb-sct,EPL,32,0,8,7,0,11,Scott McTominay,Scott,McTominay,336915,Midfielder,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.930625,2128,26,80
