height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
180,74,31,false,true,-MC-ML-MR-,M(CLR),Spain,es,SLL,30,0,Fidel,Fidel,Chaves de la Torre,86809,Midfielder,833,Elche,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.862333333333333,2404,977,54,35,706,182,58
175,74,25,false,true,-DMC-,DMC,Spain,uy,SLL,34,0,Mauro Arambarri,Mauro,Arambarri,303016,Midfielder,819,Getafe,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.857941176470589,2990,962,93,85,611,173,59
191,81,28,false,true,-DC-,D(C),Spain,fr,SLL,31,0,Raphael Varane,Raphael,Varane,93206,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.848064516129034,2717,1766,113,75,1469,109,60
185,83,32,false,true,-GK-,GK,Spain,nl,SLL,10,0,Jasper Cillessen,Jasper,Cillessen,90811,Goalkeeper,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.843999999999999,900,278,76,126,76,0,61
172,69,29,false,true,-DL-MC-ML-,"D(L),M(CL)",Spain,ar,SLL,30,0,Marcos Acuña,Marcos,Acuña,303729,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.842666666666667,2331,1439,98,95,1113,133,62
180,73,26,false,true,-DL-ML-,"D(L),M(L)",Spain,fr,SLL,26,0,Ferland Mendy,Ferland,Mendy,296337,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8415384615384625,2207,1266,48,16,1095,107,63
185,72,27,false,true,-DC-,D(C),Spain,es,SLL,35,0,David García,David,García,240874,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.840285714285716,3150,1370,138,168,847,217,64
190,83,29,false,true,-DC-,D(C),Spain,ma,SLL,19,0,Jawad El Yamiq,Jawad,El Yamiq,328643,Defender,58,Real Valladolid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.834210526315789,1377,628,48,72,445,63,65
179,68,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,pt,SLL,31,0,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,247995,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832903225806453,2301,739,38,27,516,158,66
171,63,25,false,true,-AMC-AML-AMR-,AM(CLR),Spain,fr,SLL,27,0,Thomas Lemar,Thomas,Lemar,132962,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.832222222222222,1376,722,36,11,582,93,67
182,78,26,false,true,-DC-,D(C),Spain,es,SLL,23,0,Yeray Álvarez,Yeray,Álvarez,279839,Defender,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82913043478261,1949,1095,108,94,794,99,68
