height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalOwn,ranking
188,70,27,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,22,0,0.9545454545454546,0.8181818181818182,0.3181818181818182,0.6818181818181818,2.4545454545454546,0.22727272727272727,0.6818181818181818,John Stones,John,Stones,101374,Defender,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.033636363636362,1934,0,50
183,80,23,false,true,-DC-DL-DR-ML-MR-,"D(CLR),M(LR)",England,gb-eng,EPL,23,0,2.652173913043478,1.3043478260869565,0.6956521739130435,0.21739130434782608,1.9130434782608696,0.9130434782608695,0.43478260869565216,James Justin,James,Justin,301441,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.03304347826087,2070,0,51
185,75,25,false,true,-DC-DL-ML-,"D(CL),M(L)",England,gb-eng,EPL,32,2,1.375,0.625,1.3125,0.09375,1.21875,0.46875,0.28125,Luke Shaw,Luke,Shaw,118244,Defender,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0328124999999995,2657,1,52
185,71,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,38,1,0.5526315789473685,0.2631578947368421,0.9473684210526315,0,0.9736842105263158,0.5,0.10526315789473684,Patrick Bamford,Patrick,Bamford,109670,Forward,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.027631578947367,3066,0,53
178,74,22,false,true,-GK-,GK,England,ie,EPL,2,0,0,0,0,0,1,0,0,Caoimhin Kelleher,Caoimhin,Kelleher,322176,Goalkeeper,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.025,180,0,54
185,81,28,false,true,-DC-,D(C),England,gb-eng,EPL,36,0,1.8333333333333333,1.2222222222222223,0.75,0.6111111111111112,4.416666666666667,0.6666666666666666,1.1666666666666667,James Tarkowski,James,Tarkowski,131464,Defender,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0216666666666665,3240,0,55
190,85,28,false,true,-DC-DR-,D(CR),England,de,EPL,19,0,1.631578947368421,0.9473684210526315,0.8421052631578947,0.5263157894736842,2.6842105263157894,0.15789473684210525,0.5263157894736842,Antonio Rüdiger,Antonio,Rüdiger,104010,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.019473684210527,1710,1,56
175,69,22,false,true,-DR-MR-,"D(R),M(R)",England,gb-eng,EPL,36,2,1.5555555555555556,1.3611111111111112,0.5833333333333334,0.3611111111111111,1.1944444444444444,0.5555555555555556,0.08333333333333333,Trent Alexander-Arnold,Trent,Alexander-Arnold,318871,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.015,3033,0,57
190,0,20,false,true,-DC-,D(C),England,fr,EPL,28,1,1.8214285714285714,2.1785714285714284,1.3214285714285714,0.5,3.2857142857142856,0.5357142857142857,0.5714285714285714,Wesley Fofana,Wesley,Fofana,373946,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.014642857142856,2265,0,58
185,76,22,false,true,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,32,0,1.84375,1.84375,0.65625,0.03125,1.09375,0.9375,0.34375,Declan Rice,Declan,Rice,332325,Midfielder,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0143749999999985,2880,0,59
178,72,25,false,true,-DC-DMC-,"D(C),DMC",England,gb-eng,EPL,29,1,2.5517241379310347,1.5517241379310345,1.5862068965517242,0.10344827586206896,1.6896551724137931,1.2413793103448276,0.4827586206896552,Kalvin Phillips,Kalvin,Phillips,270446,Midfielder,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.009655172413794,2431,0,60
