name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Uros Racic,Midfielder,35,10,1047,10,31,1,38,26,0,0,6,0,1,LaLiga,2191
Etienne Capoue,Midfielder,8,3,761,3,16,0,20,20,0,1,5,0,1,LaLiga,1195
Marco Asensio,Forward,39,11,891,33,35,2,12,11,0,0,1,0,5,LaLiga,1876
AÃ¯ssa Mandi,Defender,8,7,1521,4,28,1,30,39,0,2,5,0,3,LaLiga,2394
JosÃ© Mari,Midfielder,17,4,458,8,22,0,32,27,0,0,5,0,1,LaLiga,1462
DjenÃ© Dakonam,Defender,2,0,1006,6,34,1,61,42,0,2,6,0,0,LaLiga,2945
Lucas BoyÃ©,Forward,58,22,631,14,34,2,47,19,0,1,7,0,7,LaLiga,2713
Nacho Monreal,Defender,12,1,978,11,26,1,31,31,0,0,1,0,1,LaLiga,2082
Eden Hazard,Forward,10,5,335,6,14,2,3,3,0,0,0,0,3,LaLiga,533
Manu Trigueros,Midfielder,30,8,1579,35,35,7,51,17,0,1,6,0,1,LaLiga,2540
Miguel Ãngel Rubio,Defender,1,0,53,0,2,0,0,3,0,0,0,0,0,LaLiga,135
RaÃºl GarcÃ­a,Defender,3,3,187,5,8,0,10,9,0,0,2,0,1,LaLiga,502
RubÃ©n PeÃ±a,Midfielder,6,2,473,6,19,1,25,13,0,0,1,0,1,LaLiga,1113
Guido Carrillo,Forward,26,8,300,8,21,2,9,4,0,0,3,0,3,LaLiga,1001
IÃ±aki Williams,Forward,53,17,516,30,38,6,11,5,0,0,1,0,6,LaLiga,2393
Gonzalo Melero,Midfielder,27,9,1032,21,29,1,24,18,0,0,4,0,7,LaLiga,1857
Anaitz Arbilla,Defender,27,2,1697,10,34,1,45,69,0,0,8,0,0,LaLiga,2803
Edgar Badia,Goalkeeper,0,0,1005,0,30,0,1,0,95,0,0,0,0,LaLiga,2700
Kenedy,Forward,37,11,248,17,28,3,22,26,0,0,3,0,4,LaLiga,1479
JoaquÃ­n,Midfielder,10,5,675,32,27,5,9,17,0,0,2,0,2,LaLiga,1298
Alfonso Pedraza,Midfielder,22,8,931,27,29,2,35,34,0,0,8,1,1,LaLiga,2102
Sergi GÃ³mez,Defender,1,0,543,1,9,0,4,6,0,0,2,0,0,LaLiga,723
Ãlvaro FernÃ¡ndez,Goalkeeper,1,0,694,1,22,0,1,2,64,0,0,0,0,LaLiga,1980
Ander Capa,Defender,12,6,855,16,28,1,37,25,0,0,5,0,2,LaLiga,2141
Rodrygo,Forward,25,5,388,19,22,6,15,7,0,0,0,0,1,LaLiga,979
