name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackleWonTotal,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Ãlex Blesa,Midfielder,0,0,12,0,1,0,0,0,0,0,0,0,0,LaLiga,10
David JuncÃ,Defender,0,0,0,0,1,0,0,0,0,0,1,0,0,LaLiga,1
Hugo Sotelo,Midfielder,0,0,0,0,1,0,0,0,0,0,0,0,0,LaLiga,1
Mamor Niang,Forward,1,0,4,0,1,0,1,0,0,0,0,0,0,LaLiga,21
Miguel Rodriguez,Forward,0,0,14,0,4,0,1,0,0,0,2,0,0,LaLiga,26
RamÃ³n Folch,Midfielder,0,0,0,0,1,0,0,0,0,0,0,0,0,LaLiga,1
Sergio Cubero,Defender,0,0,0,0,1,0,0,0,0,0,0,0,0,LaLiga,1
Facundo Ferreyra,Forward,7,2,48,0,13,0,4,2,0,1,3,0,1,LaLiga,293
Giorgi Kochorashvili,Midfielder,1,0,13,1,3,0,1,0,0,0,0,0,0,LaLiga,22
Bobby Adekanye,Forward,1,0,8,0,3,0,0,0,0,0,0,0,0,LaLiga,34
Ãlex MillÃ¡n,Forward,0,0,1,0,1,0,0,0,0,0,0,0,0,LaLiga,1
Sergio GonzÃ¡lez,Midfielder,1,0,30,0,1,0,1,2,0,0,0,0,0,LaLiga,90
David Gil,Goalkeeper,0,0,113,0,4,0,0,0,7,0,0,0,0,LaLiga,360
Gabriel Veiga,Midfielder,0,0,30,1,6,0,3,3,0,0,1,0,0,LaLiga,114
Borja Mayoral,Forward,0,0,5,0,2,0,0,0,0,0,0,0,0,LaLiga,21
Daniel Plomer,Forward,0,0,3,0,1,0,0,0,0,0,0,0,0,LaLiga,45
John Patrick,Midfielder,2,0,15,0,6,0,2,0,0,0,0,0,0,LaLiga,60
Ãlvaro Bastida,Midfielder,0,0,8,0,1,0,0,0,0,0,0,0,0,LaLiga,34
Nano Mesa,Forward,0,0,3,0,1,0,0,0,0,0,0,0,0,LaLiga,8
Josete Miranda,Forward,1,0,14,0,4,0,0,0,0,0,1,0,0,LaLiga,23
Ferro,Defender,0,0,79,0,3,0,1,0,0,0,0,0,0,LaLiga,181
Isma Ruiz,Midfielder,0,0,20,0,1,0,1,0,0,0,0,0,0,LaLiga,67
Lautaro de LeÃ³n,Forward,0,0,3,0,1,0,0,0,0,0,0,0,0,LaLiga,13
Unai Arietaleanizbeaskoa,Forward,1,0,7,0,4,0,1,0,0,0,1,0,0,LaLiga,43
GerÃ³nimo Rulli,Goalkeeper,0,0,79,0,3,0,0,0,4,1,0,0,0,LaLiga,181
John Donald,Midfielder,0,0,18,0,2,0,0,0,0,0,0,0,0,LaLiga,50
Marc BarÃ³,Defender,1,1,7,2,1,0,2,2,0,0,0,0,0,LaLiga,90
RubÃ©n MartÃ­nez,Goalkeeper,0,0,57,0,3,0,0,0,3,1,0,0,0,LaLiga,188
Koke Vegas,Goalkeeper,0,0,26,0,2,0,0,0,2,0,1,0,0,LaLiga,91
Unai Dufur,Midfielder,0,0,33,0,1,0,2,1,0,0,0,0,0,LaLiga,63
EÃ±aut MendÃ­a,Midfielder,1,0,9,0,1,0,2,0,0,0,1,0,0,LaLiga,62
Jokin Ezkieta,Goalkeeper,0,0,19,0,1,0,0,0,1,0,0,0,0,LaLiga,90
