height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
183,74,23,false,true,-DC-DL-DR-,D(CLR),England,gb-eng,EPL,31,0,55,69,Ben Godfrey,Ben,Godfrey,287504,Defender,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.776774193548386,2683,14,162
175,70,24,false,true,-AMC-AML-FW-,"AM(CL),FW",England,gb-sct,EPL,36,0,25,36,Che Adams,Che,Adams,256419,Forward,18,Southampton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.772777777777777,2675,11,163
191,75,26,false,true,-DC-,D(C),England,gb-eng,EPL,29,0,29,42,Adam Webster,Adam,Webster,109922,Defender,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.771724137931034,2595,13,164
185,70,30,false,true,-DC-,D(C),England,gb-eng,EPL,30,0,27,39,Kyle Bartley,Kyle,Bartley,71327,Defender,175,West Bromwich Albion,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7713333333333345,2584,12,165
182,79,20,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,20,0,14,25,Emile Smith Rowe,Emile,Smith Rowe,363686,Midfielder,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.771000000000001,1448,11,166
173,73,30,false,true,-DMC-,DMC,England,br,EPL,24,0,80,147,Allan,Allan,Marques Loureiro,82438,Midfielder,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.769583333333334,2052,67,167
178,70,31,false,true,-DC-DR-MR-,"D(CR),M(R)",England,gb-eng,EPL,24,0,29,37,Kyle Walker,Kyle,Walker,69778,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7683333333333335,1947,8,168
180,69,25,false,true,-MC-MR-,M(CR),England,gb-eng,EPL,33,0,45,74,Josh Brownhill,Josh,Brownhill,138929,Midfielder,184,Burnley,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.760000000000002,2816,29,169
191,86,27,false,true,-DC-DL-,D(CL),England,es,EPL,16,0,13,17,Aymeric Laporte,Aymeric,Laporte,122117,Defender,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7593749999999995,1343,4,170
184,77,21,false,true,-AML-AMR-FW-,"AM(LR),FW",England,es,EPL,24,0,12,23,Ferran Torres,Ferran,Torres,349760,Forward,167,Manchester City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.755416666666666,1306,11,171
183,73,26,false,true,-AML-AMR-FW-,"AM(LR),FW",England,ci,EPL,29,0,20,35,Nicolas Pépé,Nicolas,Pépé,239872,Forward,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.755172413793104,1614,15,172
189,76,27,false,true,-MC-ML-MR-,M(CLR),England,gb-eng,EPL,24,0,6,18,Ross Barkley,Ross,Barkley,92547,Midfielder,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.751666666666668,1537,12,173
