height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,saveSixYardBox,savePenaltyArea,saveObox,saveTotal,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,ranking
184,75,24,false,true,-GK-,GK,Spain,es,SLL,1,0,0,0,1,1,Antonio Sivera,Antonio,Sivera,141044,Goalkeeper,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,72,87
172,68,29,false,true,-MC-ML-MR-,M(CLR),Spain,br,SLL,12,0,0,0,0,0,Philippe Coutinho,Philippe,Coutinho Correia,80767,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.785833333333333,657,88
180,76,31,false,true,-DC-DL-DR-,D(CLR),Spain,es,SLL,24,0,0,0,0,0,Nacho,Jose Ignacio,Fernandez Iglesias,106875,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.783333333333332,2000,89
182,78,22,false,true,-MC-ML-MR-,M(CLR),Spain,uy,SLL,24,0,0,0,0,0,Federico Valverde,Federico,Valverde,344644,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7825,1333,90
171,72,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,37,0,0,0,0,0,Rubén García,Rubén,García,119189,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.780810810810809,2739,91
185,80,26,false,true,-DC-DR-,D(CR),Spain,uy,SLL,21,0,0,0,0,0,José Giménez,José,Giménez,135914,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.778095238095237,1766,92
172,70,23,false,true,-DR-MR-,"D(R),M(R)",Spain,es,SLL,25,0,0,0,0,0,Pablo Maffeo,Pablo,Maffeo,294848,Defender,5006,SD Huesca,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7776,1977,93
199,91,29,false,true,-GK-,GK,Spain,be,SLL,38,0,3,55,31,89,Thibaut Courtois,Thibaut,Courtois,73798,Goalkeeper,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.777368421052632,3420,94
182,74,30,false,true,-DC-DR-MR-,"D(CR),M(R)",Spain,es,SLL,25,0,0,0,0,0,Mario Gaspar,Mario Gaspar,Pérez Martínez,79909,Defender,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.773199999999998,1852,95
184,75,22,false,true,-DC-DR-,D(CR),Spain,es,SLL,27,0,0,0,0,0,Óscar Mingueza,Óscar,Mingueza,397469,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.764814814814815,1907,96
175,71,25,false,true,-AML-AMR-FW-,"AM(LR),FW",Spain,es,SLL,20,0,0,0,0,0,Sandro Ramírez,Sandro,Ramírez,135242,Forward,5006,SD Huesca,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7639999999999985,1294,97
170,69,28,false,true,-DR-,D(R),Spain,es,SLL,32,0,0,0,0,0,Iza,Isaac,Carcelén,400046,Defender,1354,Cadiz,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.763749999999999,2587,98
186,80,24,false,true,-DC-,D(C),Spain,es,SLL,25,0,0,0,0,0,Unai Núñez,Unai,Núñez,344200,Defender,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.76,2108,99
173,69,30,false,true,-DC-DR-MR-,"D(CR),M(R)",Spain,es,SLL,31,0,0,0,0,0,Hugo Mallo,Hugo,Mallo,79929,Defender,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.759032258064515,2604,100
191,80,24,false,true,-DC-,D(C),Spain,es,SLL,33,0,0,0,0,0,Pau Torres,Pau,Torres,344259,Defender,839,Villarreal,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.75878787878788,2970,101
192,83,32,false,true,-DC-,D(C),Spain,gr,SLL,36,0,0,0,0,0,Dimitrios Siovas,Dimitrios,Siovas,79755,Defender,5006,SD Huesca,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.758055555555554,3073,102
167,68,33,false,true,-FW-MC-ML-,"M(CL),FW",Spain,ar,SLL,18,0,0,0,0,0,Papu Gómez,Alejandro,Gómez,22546,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.756666666666667,917,103
184,80,38,false,true,-GK-,GK,Spain,cl,SLL,20,0,7,33,12,52,Claudio Bravo,Claudio,Bravo,14199,Goalkeeper,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7555000000000005,1800,104
184,76,26,false,true,-DC-DL-MC-ML-MR-,"D(CL),M(CLR)",Spain,es,SLL,33,0,0,0,0,0,Saúl Ñíguez,Saúl,Ñíguez,112161,Midfielder,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.755151515151516,2034,105
179,68,28,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,23,0,0,0,0,0,Álex Moreno,Alexandre,Moreno Lopera,135374,Defender,54,Real Betis,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.752608695652174,1787,106
174,60,18,false,true,-AMC-,AM(C),Spain,es,SLL,37,0,0,0,0,0,Pedri,Pedro,González,402197,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.75108108108108,2430,107
