name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Benjamin Mendy,Defender,6,2,553,5,13,1,13,5,0,0,2,0,2,Premier League,955
Ola Aina,Defender,14,4,1462,15,31,1,37,45,0,0,3,0,2,Premier League,2671
Lukasz Fabianski,Goalkeeper,0,0,856,0,35,0,1,1,98,0,2,0,0,Premier League,3150
Darnell Furlong,Defender,26,5,816,16,35,3,45,49,0,0,5,1,1,Premier League,2932
Georginio Wijnaldum,Midfielder,31,9,1757,21,38,0,23,26,0,0,1,0,2,Premier League,2947
Giovani Lo Celso,Midfielder,15,6,570,15,18,1,28,7,0,0,5,0,1,Premier League,950
Ezgjan Alioski,Midfielder,25,8,1377,28,36,3,74,23,0,0,7,0,2,Premier League,2466
Daniel James,Midfielder,17,6,288,10,15,1,15,0,0,0,3,0,3,Premier League,914
Ederson,Goalkeeper,0,0,959,1,36,1,3,0,66,0,3,0,0,Premier League,3240
Ricardo Pereira,Defender,7,4,463,10,15,1,31,15,0,0,3,0,0,Premier League,959
Jack Robinson,Defender,6,0,423,1,11,1,14,9,0,0,3,0,0,Premier League,875
Fabio Carvalho,Midfielder,9,5,85,2,4,0,9,1,0,0,0,0,1,Premier League,255
Kai Havertz,Midfielder,33,16,766,18,27,3,18,4,0,0,2,0,4,Premier League,1522
Ben White,Defender,10,1,1747,8,36,0,49,62,0,1,3,0,0,Premier League,3195
Ayoze PÃ©rez,Forward,31,13,470,23,25,1,32,10,0,0,2,0,2,Premier League,1333
Jamaal Lascelles,Defender,15,3,621,3,19,0,14,12,0,0,4,0,2,Premier League,1628
Mario Lemina,Midfielder,19,3,887,12,28,0,62,30,0,0,5,0,1,Premier League,1705
Robert SÃ¡nchez,Goalkeeper,0,0,984,1,27,0,1,1,65,0,2,0,0,Premier League,2430
SaÃ¯d Benrahma,Forward,35,12,484,27,30,6,24,8,0,0,0,0,1,Premier League,1392
Naby Keita,Midfielder,9,2,356,6,10,0,11,9,0,0,1,0,0,Premier League,524
Robin Koch,Defender,9,1,769,4,17,0,27,27,0,0,1,0,0,Premier League,1131
Maximilian Kilman,Defender,7,2,745,5,18,1,21,19,0,0,4,0,0,Premier League,1307
John Egan,Defender,14,3,1123,3,31,1,41,41,0,1,7,0,0,Premier League,2630
Curtis Jones,Midfielder,19,9,966,12,24,2,16,19,0,0,2,0,1,Premier League,1178
Nemanja Matic,Midfielder,6,3,1016,8,20,0,25,22,0,0,2,0,0,Premier League,1102
Scott Dann,Defender,4,1,640,1,15,0,6,18,0,0,1,0,1,Premier League,1350
Nathan AkÃ©,Defender,3,1,751,1,10,0,10,9,0,0,4,0,1,Premier League,797
Joe Rodon,Defender,1,0,429,0,12,0,14,21,0,0,0,0,0,Premier League,732
Neal Maupay,Forward,71,26,650,32,33,2,20,13,0,1,1,0,8,Premier League,2519
Gary Cahill,Defender,11,3,746,8,20,1,13,13,0,0,3,0,1,Premier League,1800
Cheikhou KouyatÃ©,Midfielder,7,2,1279,8,36,0,58,32,0,0,4,0,1,Premier League,3123
Theo Walcott,Forward,29,11,399,17,21,3,23,14,0,0,0,0,3,Premier League,1629
Bernardo,Defender,4,0,74,2,3,0,10,1,0,0,0,0,0,Premier League,204
Ben Davies,Defender,3,0,645,8,20,1,27,18,0,0,1,0,0,Premier League,1340
Ã‰douard Mendy,Goalkeeper,0,0,899,0,31,0,0,1,57,0,2,0,0,Premier League,2746
Rayan AÃ¯t-Nouri,Defender,15,6,627,14,21,1,29,15,0,0,1,0,1,Premier League,1406
Bernd Leno,Goalkeeper,0,0,998,0,35,0,1,0,84,1,0,1,0,Premier League,3132
